,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
19040,-775,,,,,,,,,,,,,,9/30/2010,1
20340,-324,112144.0,74954.0,19963.0,48505.0,2817.0,0.0,3748.0,4279.0,-4286.0,37086.0,75107.0,10902.0,50.0,9/30/2010,1
21777,12540,402205.0,297286.0,77909.0,156250.0,37719.0,0.0,20022.0,14450.0,-16059.0,21273.0,345955.0,50729.0,129.0,9/30/2010,1
22173,3788,1583611.0,1023750.0,21037.0,855932.0,144652.0,0.0,34385.0,31718.0,-69281.0,48202.0,1440583.0,237756.0,182.0,9/30/2010,1
23306,2653,31569.0,16517.0,3938.0,8495.0,3501.0,0.0,760.0,2186.0,-1859.0,5633.0,23211.0,501.0,13.0,9/30/2010,1
27573,-1303,73922.0,56001.0,20239.0,32805.0,2140.0,0.0,2185.0,2759.0,-6138.0,8600.0,63598.0,8343.0,22.0,9/30/2010,1
31263,6741,538258.0,427925.0,149216.0,223803.0,53145.0,0.0,14792.0,15502.0,-16779.0,28004.0,472052.0,87427.0,116.0,9/30/2010,1
32251,473,94823.0,84674.0,24559.0,51621.0,9627.0,0.0,1780.0,3276.0,-3076.0,5583.0,81278.0,0.0,17.0,9/30/2010,1
33904,310,29259.0,15000.0,4986.0,9972.0,146.0,0.0,654.0,1097.0,-1658.0,15224.0,11643.0,0.0,12.0,9/30/2010,1
34016,10599,989382.0,707503.0,83259.0,561026.0,31496.0,0.0,58180.0,23510.0,-33484.0,59159.0,810208.0,109161.0,150.0,9/30/2010,1
34411,4532,221082.0,173680.0,36826.0,62367.0,53318.0,0.0,8577.0,6669.0,-8260.0,42125.0,151348.0,13719.0,29.0,9/30/2010,1
34578,2124,244376.0,180194.0,17845.0,140978.0,12370.0,1399.0,3259.0,7248.0,-11104.0,29439.0,211037.0,13843.0,59.0,9/30/2010,1
34673,2571,252744.0,233102.0,82451.0,119377.0,29790.0,0.0,8640.0,8568.0,-10207.0,20450.0,193100.0,0.0,36.0,9/30/2010,1
35065,-1833,242339.0,188047.0,63449.0,66617.0,15909.0,0.0,14570.0,5865.0,-16068.0,13011.0,180793.0,8013.0,22.0,9/30/2010,1
35078,1474,106595.0,86882.0,40645.0,44075.0,2088.0,0.0,1289.0,4679.0,-4667.0,9706.0,82290.0,8290.0,28.0,9/30/2010,1
35250,1131,92980.0,70048.0,14804.0,29299.0,6992.0,215.0,4170.0,4009.0,-4106.0,19963.0,70681.0,7097.0,30.0,9/30/2010,1
35463,-2354,203955.0,150363.0,15679.0,126266.0,7491.0,0.0,8796.0,6618.0,-17831.0,16416.0,173766.0,13852.0,48.0,9/30/2010,1
35561,2272,112643.0,78083.0,53781.0,19677.0,5320.0,831.0,2242.0,3544.0,-1364.0,7611.0,96894.0,5862.0,30.0,9/30/2010,1
57831,1758,143729.0,100823.0,23697.0,51338.0,19159.0,0.0,7416.0,2755.0,-11036.0,19571.0,122002.0,1795.0,17.0,9/30/2010,1
57885,611,48000.0,35951.0,1747.0,30403.0,3665.0,0.0,622.0,2551.0,-1952.0,9297.0,37715.0,0.0,15.0,9/30/2010,1
58052,19250,191764.0,124817.0,24046.0,71929.0,20491.0,0.0,1584.0,3427.0,510.0,17047.0,138756.0,35049.0,36.0,9/30/2010,1
58087,-3483,98635.0,82924.0,1437.0,46663.0,39377.0,0.0,3912.0,4974.0,-12739.0,27115.0,74012.0,1888.0,17.0,9/30/2010,1
58205,25,87782.0,66287.0,8984.0,39198.0,15672.0,0.0,3165.0,3153.0,-3459.0,6779.0,63352.0,11102.0,10.0,9/30/2010,1
