,1-4 family residential loans,Allowance for loan losses,AsOfDate,Available-for-sale Fair Value,Commercial and industrial loans,Credit cards,Net Income before,Number of full-time employees,Other real estate loans,Target,Total assets,Total equity capital,Total loans,Total noninterest expense,Total nontransaction deposits,Total transaction deposits
2562838,58210.0,4534.0,,95900.0,29560.0,0.0,4754.0,71.0,81774.0,,350006.0,46206,203742.0,7323.0,250556.0,46942.0
2567123,0.0,0.0,,0.0,0.0,0.0,334.0,1.0,0.0,,13909.0,13786,0.0,156.0,0.0,0.0
2571081,35636.0,996.0,,10039.0,5470.0,0.0,1039.0,34.0,25625.0,,176183.0,29363,69636.0,2939.0,66291.0,68082.0
2575717,13117.0,1359.0,,48245.0,5907.0,0.0,529.0,39.0,26936.0,,121671.0,17205,53436.0,3466.0,60080.0,43706.0
2576134,0.0,947.0,,517.0,7314.0,20532.0,4169.0,29.0,10325.0,,121799.0,23391,38280.0,5024.0,95185.0,0.0
2576143,57033.0,15584.0,,35938.0,12855.0,398.0,-837.0,65.0,166745.0,,291821.0,17164,238357.0,7967.0,189181.0,46307.0
2577243,27562.0,3508.0,,36821.0,36098.0,0.0,872.0,76.0,84389.0,,224615.0,24071,157790.0,6182.0,130370.0,63848.0
2577739,18563.0,1187.0,,37512.0,9447.0,0.0,472.0,24.0,26330.0,,123974.0,15439,69805.0,2595.0,65217.0,39421.0
2579069,12480.0,3851.0,,0.0,18667.0,198.0,-1676.0,51.0,55371.0,,135677.0,8283,84574.0,4925.0,78529.0,48202.0
2580243,69974.0,4271.0,,85788.0,22334.0,296.0,4042.0,48.0,203849.0,,483405.0,46651,301531.0,4941.0,325623.0,34391.0
2582023,1699067.0,205858.0,,85.0,2399238.0,790338.0,111839.0,927.0,888.0,,6098821.0,888186,5770754.0,223356.0,23469.0,22314.0
2583721,41404.0,5273.0,,155997.0,27260.0,0.0,2530.0,70.0,81224.0,,344784.0,37542,160994.0,5935.0,207714.0,19290.0
2586281,91541.0,2081.0,,39981.0,36692.0,0.0,2182.0,107.0,115603.0,,367713.0,38356,279230.0,8382.0,195824.0,105189.0
