,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
466642,77497,750443.0,671141.0,110366.0,438595.0,60886.0,264.0,6514.0,15927.0,13042.0,144306.0,524265.0,25483.0,126.0,12/31/2011,0
466754,27467,307763.0,240028.0,95389.0,103625.0,10926.0,0.0,3117.0,7625.0,1625.0,55270.0,198492.0,29385.0,76.0,12/31/2011,0
466857,172593,1839997.0,1040972.0,162061.0,352744.0,230912.0,0.0,15851.0,57322.0,7184.0,152606.0,1472758.0,517208.0,483.0,12/31/2011,0
466932,14147,111778.0,69897.0,22626.0,23596.0,11557.0,0.0,1045.0,3559.0,1053.0,24887.0,70081.0,8906.0,38.0,12/31/2011,0
467144,7419,53259.0,42709.0,28112.0,7189.0,1933.0,64.0,650.0,1350.0,590.0,8176.0,36268.0,5433.0,11.0,12/31/2011,0
467265,6079,71522.0,13780.0,2389.0,2886.0,2557.0,0.0,201.0,1247.0,430.0,31126.0,34207.0,16522.0,14.0,12/31/2011,0
467658,66346,642242.0,427818.0,156351.0,164238.0,61826.0,0.0,7902.0,18278.0,9054.0,161020.0,395757.0,134171.0,169.0,12/31/2011,0
467733,20890,272468.0,118651.0,25903.0,77710.0,8176.0,461.0,7864.0,10016.0,-2790.0,108394.0,142075.0,78499.0,114.0,12/31/2011,0
467957,6009,53830.0,22910.0,154.0,2453.0,9696.0,41.0,449.0,1358.0,498.0,13594.0,33746.0,23461.0,13.0,12/31/2011,0
468673,18736,160919.0,134069.0,73933.0,19756.0,19296.0,0.0,2387.0,4172.0,2100.0,24578.0,104495.0,8455.0,42.0,12/31/2011,0
468806,71683,587085.0,334402.0,144062.0,148681.0,19821.0,0.0,5436.0,31291.0,367.0,22878.0,378674.0,139480.0,197.0,12/31/2011,0
468954,41632,454371.0,226981.0,30443.0,170653.0,17333.0,0.0,3614.0,12918.0,3311.0,34235.0,369436.0,79612.0,107.0,12/31/2011,0
469250,1698,14737.0,7466.0,1754.0,1542.0,1407.0,0.0,134.0,496.0,69.0,2483.0,9423.0,0.0,5.0,12/31/2011,0
469362,4635,35114.0,16577.0,5025.0,549.0,1532.0,0.0,278.0,977.0,460.0,12697.0,17640.0,5874.0,10.0,12/31/2011,0
469559,20755,215474.0,134666.0,19771.0,52214.0,27010.0,0.0,1845.0,5544.0,2322.0,62760.0,112768.0,52899.0,53.0,12/31/2011,0
469737,9429,99303.0,43675.0,22477.0,17938.0,1376.0,0.0,1853.0,3412.0,201.0,29260.0,60158.0,34430.0,25.0,12/31/2011,0
470032,9266,112638.0,74926.0,19877.0,34955.0,11378.0,592.0,884.0,3873.0,945.0,44117.0,55423.0,19773.0,33.0,12/31/2011,0
470050,128428,1415041.0,462702.0,104146.0,96669.0,121369.0,0.0,7090.0,26840.0,23046.0,270163.0,834288.0,746927.0,210.0,12/31/2011,0
470434,1882,15133.0,5413.0,1933.0,936.0,287.0,0.0,83.0,578.0,103.0,6113.0,7099.0,8360.0,6.0,12/31/2011,0
470452,67693,579739.0,370953.0,103068.0,178498.0,30423.0,82.0,4472.0,22850.0,11303.0,75776.0,422476.0,141592.0,210.0,12/31/2011,0
470724,62968,753799.0,383431.0,86182.0,257167.0,38350.0,0.0,14.0,4174.0,3004.0,53927.0,634617.0,188927.0,164.0,12/31/2011,0
471057,8678,43715.0,18335.0,149.0,5161.0,7668.0,1.0,412.0,926.0,614.0,9421.0,25327.0,21777.0,7.0,12/31/2011,0
471217,63474,840595.0,403701.0,24546.0,320508.0,57652.0,0.0,16380.0,30525.0,-7013.0,21374.0,560840.0,324516.0,152.0,12/31/2011,0
471749,31739,340348.0,268714.0,91116.0,94878.0,25041.0,0.0,2833.0,6607.0,6078.0,101163.0,193862.0,5991.0,63.0,12/31/2011,0
472018,14418,109103.0,49601.0,25139.0,10853.0,6763.0,248.0,384.0,2798.0,1061.0,30695.0,61507.0,43159.0,31.0,12/31/2011,0
472045,12557,43092.0,19547.0,988.0,3411.0,494.0,0.0,225.0,714.0,750.0,7281.0,22751.0,18815.0,5.0,12/31/2011,0
472148,3849,37760.0,13145.0,2022.0,4650.0,1348.0,0.0,238.0,868.0,143.0,10422.0,23059.0,9242.0,8.0,12/31/2011,0
472250,1942,15979.0,6856.0,438.0,1853.0,337.0,0.0,207.0,290.0,76.0,2116.0,11900.0,0.0,4.0,12/31/2011,0
472531,8586,56846.0,19441.0,6320.0,7760.0,1825.0,0.0,225.0,1180.0,626.0,22099.0,26089.0,31798.0,15.0,12/31/2011,0
472616,25478,373788.0,292759.0,66125.0,54501.0,26480.0,850.0,3568.0,12769.0,2143.0,35470.0,306292.0,40778.0,138.0,12/31/2011,0
472643,6802,54336.0,52605.0,2778.0,31104.0,1131.0,0.0,1000.0,1421.0,1569.0,6597.0,37676.0,131.0,11.0,12/31/2011,0
472652,1237,13005.0,8574.0,2257.0,2979.0,1110.0,0.0,362.0,764.0,-215.0,3766.0,7982.0,2606.0,5.0,12/31/2011,0
472858,25055,255525.0,180050.0,16571.0,82871.0,20667.0,0.0,2143.0,8335.0,4468.0,72447.0,157198.0,26705.0,72.0,12/31/2011,0
472951,4140,46829.0,26490.0,10368.0,5287.0,5192.0,280.0,298.0,1234.0,260.0,13729.0,28485.0,0.0,13.0,12/31/2011,0
472979,32091,198028.0,95999.0,69978.0,22701.0,1533.0,0.0,896.0,4048.0,1917.0,20824.0,120028.0,76095.0,30.0,12/31/2011,0
473042,31122,276250.0,205652.0,63404.0,111871.0,13401.0,0.0,3118.0,10195.0,526.0,85609.0,150869.0,36473.0,79.0,12/31/2011,0
473257,11474,106893.0,47612.0,13001.0,18069.0,12636.0,1437.0,1076.0,3094.0,181.0,35867.0,59452.0,46965.0,30.0,12/31/2011,0
473266,73436,692284.0,312974.0,31954.0,222149.0,39264.0,2620.0,6064.0,23373.0,4064.0,308201.0,308613.0,84972.0,206.0,12/31/2011,0
473341,3677,37915.0,29974.0,2808.0,7753.0,5764.0,0.0,414.0,1097.0,441.0,8827.0,25147.0,3407.0,6.0,12/31/2011,0
473501,517015,3955635.0,2974941.0,1373366.0,1165450.0,394081.0,0.0,32444.0,104116.0,19135.0,204534.0,2971670.0,419756.0,690.0,12/31/2011,0
