,RIAD3210,RCON2170,RCON3360,RCONC410,RCONC411,RCON3123,RIAD4093,RIAD4340,RCON2215,RCON2385,RCON3545,Target,AsOfDate
3885,80643,11948,58892,1291,62439,0,0,0,7997,1919,202,0,9/30/2010
3886,593789,18426,496040,17961,496690,0,3547,0,65307,35287,7558,0,9/30/2010
3887,1995656,69371,1141874,28648,1031663,0,6938,0,361261,42502,-14442,0,9/30/2010
3888,114196,28762,58060,1120,94847,0,0,0,14838,2265,1099,0,9/30/2010
3889,10912,0,0,0,0,0,0,0,9033,4013,1449,0,9/30/2010
3890,288720,55305,176968,4291,206928,0,501,939,32892,4991,1186,0,9/30/2010
3891,633729,43484,486812,12078,470188,0,10732,0,56785,14223,-7746,0,9/30/2010
3892,65275,22211,36923,394,37839,0,0,0,5894,1560,334,0,9/30/2010
3893,171570,45809,110075,2150,126758,0,313,89,15257,3676,695,0,9/30/2010
3894,250675,61223,165347,1722,159190,0,0,0,23127,3387,3351,0,9/30/2010
3895,9005412,5567,6205315,187916,6227428,0,272434,0,1712851,87996,-437747,0,9/30/2010
3896,303689,27502,191130,5262,250153,0,6873,3872,30692,7165,-285,0,9/30/2010
3897,493011,7962195,4230980,,2597787,427752,67073,,,,,0,9/30/2010
3898,344040,57606,257111,7376,282372,0,0,0,28672,8863,-2697,0,9/30/2010
3899,6894,0,0,0,0,0,0,0,5520,7776,1500,0,9/30/2010
3900,84345,16622,59793,712,65823,0,0,0,7779,1765,352,0,9/30/2010
3901,1036664,58576,821106,9383,565888,0,0,0,92115,15645,13585,0,9/30/2010
3902,18012,4260,10755,320,13700,0,0,0,2252,456,228,0,9/30/2010
3903,220904,26257,157315,5377,166938,0,9300,0,16105,4772,-2244,0,9/30/2010
3904,790993,9671,702556,2530,311832,0,8310,0,60410,10139,5764,0,9/30/2010
3905,373936,106438,220229,8212,257852,0,179,0,43554,9482,2969,0,9/30/2010
3906,1257923,154748,770607,4685,727202,0,0,0,175675,18208,5773,0,9/30/2010
3907,362304,38323,292933,8796,295097,0,4449,158,29562,9133,-7503,0,9/30/2010
3908,70371,0,63983,475,51267,0,0,0,6276,461,114,0,9/30/2010
3909,243393,13503,192042,4650,224408,0,0,0,31887,5205,2936,0,9/30/2010
3910,60000,23726,30272,366,35108,0,0,0,5659,1693,90,0,9/30/2010
3911,704228,39642,497322,5479,415704,0,13,0,63081,14305,8105,0,9/30/2010
3912,1609298,120480,1160901,52192,1325243,0,9900,0,107523,40632,-16967,0,9/30/2010
3913,97726,0,50500,0,0,0,0,0,40533,135529,5500,0,9/30/2010
3914,467550,36929,358035,5887,320714,0,3515,159,33568,11155,2256,0,9/30/2010
3915,92438,16847,62669,1105,65481,0,2,0,8787,2147,207,0,9/30/2010
3916,365192,34497,241310,1686,198144,0,0,0,46744,8688,4200,0,9/30/2010
3917,54063,18508,21445,342,20899,0,0,0,13229,1220,473,0,9/30/2010
3918,1047300,32033,665979,14200,713636,0,4234,0,150831,16590,-3353,0,9/30/2010
3919,5283,0,0,0,0,0,0,0,4962,442,378,0,9/30/2010
3920,504376,123626,300013,6622,297327,0,10,0,42235,10913,3294,0,9/30/2010
3921,251156,85762,111829,3148,172106,0,3496,0,33942,5080,1198,0,9/30/2010
3922,1037721,5814199,6128140,62,1181722,226100,74932,,,,,0,9/30/2010
3923,384579,13632,249294,3784,261491,0,1953,591,36547,7551,2177,0,9/30/2010
3924,348616,84712,231328,4057,233894,0,627,0,31260,9654,1964,0,9/30/2010
3925,262023,67088,169211,2320,195710,0,835,0,21438,7182,1646,0,9/30/2010
3926,135915,32574,82334,1888,83471,0,1350,0,13680,3639,168,0,9/30/2010
3927,153436,36786,94976,653,78342,0,1685,0,17454,3518,834,0,9/30/2010
3928,95266,10202,67911,543,56740,0,1962,0,9793,1162,-34,0,9/30/2010
3929,207746,52598,129796,2957,116735,0,388,0,23570,4754,707,0,9/30/2010
3930,578392,27425,408273,4237,341703,0,4574,0,63509,10752,2800,0,9/30/2010
3931,832611,35787,630663,16082,551073,0,8135,695,74148,16173,476,0,9/30/2010
